iter	Passed	Remaining
450	1091	240825
451	1093	240749
452	1095	240732
453	1098	240793
454	1100	240851
455	1103	240866
456	1105	240789
457	1107	240718
458	1110	240753
459	1112	240714
460	1114	240652
461	1116	240589
462	1119	240574
463	1121	240659
464	1124	240669
465	1126	240710
466	1129	240716
467	1131	240697
468	1134	240692
469	1136	240736
470	1139	240792
471	1142	240809
472	1144	240780
473	1146	240783
474	1149	240757
475	1151	240746
476	1153	240705
477	1155	240652
478	1158	240675
479	1160	240608
480	1162	240551
481	1165	240665
482	1168	240678
483	1170	240694
484	1173	240738
485	1175	240750
486	1178	240816
487	1180	240795
488	1183	240869
489	1186	240978
490	1189	241086
491	1191	241077
492	1195	241265
493	1197	241287
494	1200	241313
495	1206	242130
496	1210	242261
497	1212	242296
498	1214	242244
499	1217	242210
500	1219	242163
501	1221	242201
502	1224	242161
503	1226	242155
504	1229	242167
505	1231	242231
506	1234	242218
507	1237	242294
508	1241	242651
509	1244	242810
510	1247	242889
511	1249	242838
512	1252	242869
513	1254	242806
514	1257	242861
515	1259	242831
516	1262	242908
517	1264	242878
518	1267	242871
519	1269	242910
520	1272	242933
521	1274	242923
522	1276	242867
523	1279	242844
524	1281	242863
525	1284	242854
526	1286	242796
527	1288	242757
528	1291	242783
529	1293	242773
530	1296	242773
531	1298	242719
532	1301	242803
533	1303	242748
534	1305	242710
535	1307	242703
536	1310	242672
537	1312	242624
538	1314	242609
539	1317	242592
540	1319	242615
541	1321	242559
542	1323	242488
543	1326	242508
544	1328	242511
545	1331	242518
546	1334	242553
547	1336	242511
548	1338	242478
549	1340	242465
550	1343	242512
551	1346	242509
552	1348	242505
553	1351	242570
554	1353	242572
555	1356	242529
556	1358	242523
557	1360	242448
558	1362	242417
559	1365	242426
560	1367	242395
561	1370	242428
562	1372	242425
563	1374	242412
564	1377	242407
565	1379	242403
566	1382	242421
567	1385	242464
568	1387	242469
569	1389	242461
570	1392	242458
571	1394	242421
572	1397	242477
573	1399	242490
574	1402	242491
575	1404	242448
576	1407	242463
577	1409	242496
578	1412	242477
579	1414	242495
580	1416	242459
581	1419	242431
582	1421	242404
583	1423	242392
584	1426	242380
585	1428	242359
586	1431	242377
587	1433	242367
588	1435	242300
589	1437	242239
590	1439	242212
591	1442	242213
592	1444	242197
593	1446	242137
594	1449	242130
595	1451	242130
596	1454	242144
597	1456	242073
598	1458	242061
599	1461	242040
600	1463	242038
601	1466	242062
602	1469	242147
603	1471	242124
604	1473	242108
605	1476	242090
606	1478	242076
607	1480	242057
608	1483	242053
609	1485	241990
610	1487	241929
611	1489	241937
612	1492	241945
613	1494	241927
614	1497	241926
615	1499	241926
616	1501	241899
617	1504	241904
618	1506	241867
619	1508	241804
620	1510	241771
621	1513	241756
622	1515	241713
623	1517	241725
624	1520	241691
625	1522	241682
626	1524	241695
627	1527	241686
628	1529	241675
629	1532	241645
630	1534	241697
631	1536	241636
632	1538	241572
633	1540	241511
634	1543	241489
635	1545	241495
636	1547	241451
637	1550	241434
638	1552	241464
639	1555	241488
640	1557	241495
641	1560	241450
642	1562	241425
643	1564	241418
644	1567	241468
